,ROI_0,ROI_6,ROI_14,ROI_30
129,-0.9493657676647614,-0.7984852530761657,-0.6658875684412755,-0.6283167404347632
130,-0.9833636826975588,-0.8851108517808169,-0.7875798665313665,-0.6122927509425051
131,-0.9988364987065821,-0.9081845718454974,-0.9042971544805324,-0.7864021755953039
132,-0.9930492669396381,-0.7758098005547485,1.1534021925769373,1.711250825518425
133,-0.9985658768960762,-0.8988391625924533,-0.8988391625924533,-0.8269075766742429
134,-1.0,-1.0,-1.0,-1.0
135,-1.0,-1.0,-1.0,-1.0
136,-1.0,-1.0,-1.0,-1.0
137,-1.0,-1.0,-1.0,-1.0
138,-1.0,-1.0,-1.0,-1.0
139,-1.0,-1.0,-1.0,-1.0
140,0.0,inf,inf,inf
141,-0.9891629764627713,-0.9559761458711524,-0.9341481296459728,-0.8728324542859316
142,-0.9825522412560271,-0.7958312053619874,-0.7358386507112876,-0.5355319557396814
143,-0.9969609083086447,-0.9700512251887016,-0.9634546683067967,-0.9431415420687583
144,-1.0,-0.8785572000718055,-0.8404313295821028,-0.8404313295821028
145,-0.9943671529031176,-0.9900318568709254,-0.9900318568709254,-0.9900318568709254
146,-1.0,-1.0,-1.0,-1.0
147,-1.0,-1.0,-1.0,-1.0
148,-1.0,-1.0,-1.0,-1.0
149,0.0,0.0,0.0,0.0
150,-1.0,-1.0,-1.0,-1.0
151,-0.9932872677297802,-0.9694438799950639,-0.9339458712022359,-0.9066804215886025
152,-0.9884538494501837,-0.9332822982579414,-0.8736676480786576,-0.8180859711171985
153,-0.9979415038765058,-0.9440774714582063,-0.8946947829789051,-0.8259902393383776
154,-0.9945488572197834,-0.9465312607905023,-0.9248402750854834,-0.8810904273145681
155,-0.9993299390802532,-0.935567809216279,-0.8972447641475279,-0.8710261785905038
156,inf,inf,inf,inf
157,inf,inf,inf,inf
158,inf,inf,inf,inf
159,inf,inf,inf,inf
160,inf,inf,inf,inf
161,inf,inf,inf,inf
162,0.0,0.0,0.0,inf
163,inf,inf,inf,inf
164,inf,inf,inf,inf
165,inf,inf,inf,inf
166,inf,inf,inf,inf
167,inf,inf,inf,inf
168,0.0,inf,inf,inf
169,inf,inf,inf,inf
170,inf,inf,inf,inf
171,inf,inf,inf,inf
172,inf,inf,inf,inf
173,inf,inf,inf,inf
174,inf,inf,inf,inf
175,inf,inf,inf,inf
176,inf,inf,inf,inf
177,inf,inf,inf,inf
178,inf,inf,inf,inf
179,inf,inf,inf,inf
180,inf,inf,inf,inf
181,0.0,inf,inf,inf
182,inf,inf,inf,inf
183,inf,inf,inf,inf
184,inf,inf,inf,inf
185,inf,inf,inf,inf
186,0.0,inf,inf,inf
187,0.0,inf,inf,inf
188,0.0,0.0,0.0,0.0
189,0.0,inf,inf,inf
190,0.0,0.0,0.0,0.0
191,inf,inf,inf,inf
192,0.0,0.0,0.0,0.0
193,0.0,0.0,0.0,0.0
194,0.0,0.0,0.0,0.0
195,0.0,0.0,0.0,0.0
196,0.0,0.0,0.0,0.0
197,0.0,0.0,0.0,0.0
198,0.0,0.0,0.0,0.0
199,0.0,0.0,0.0,0.0
200,0.0,0.0,0.0,0.0
201,inf,inf,inf,inf
202,0.0,0.0,0.0,0.0
203,0.0,0.0,0.0,0.0
204,-1.0,-1.0,-1.0,-1.0
205,0.0,0.0,0.0,0.0
206,-1.0,-1.0,-1.0,-1.0
207,0.0,0.0,0.0,0.0
208,-0.9883484908862814,-0.9462153494207071,-0.9202340491476645,-0.86043726662239
209,-0.9936827535701208,-0.9431657268399853,-0.7983225924569757,-0.5299004393994865
210,-0.982124636072572,-0.9588794877267877,-0.9420526104589114,-0.8645044183564567
211,inf,inf,inf,inf
212,-1.0,-1.0,-1.0,-1.0
213,0.0,0.0,0.0,0.0
214,inf,inf,inf,inf
215,inf,inf,inf,inf
216,inf,inf,inf,inf
217,inf,inf,inf,inf
218,inf,inf,inf,inf
219,inf,inf,inf,inf
220,0.0,0.0,0.0,0.0
