,chanel,week_3,week_2,week_1,week_52,week_51
297,VH Desktop GSP USA,552121.0,644127.0,644101.0,644050.0,460006.0
298,VH Desktop GSP top1,266670.0,311102.0,311094.0,311066.0,222179.0
299,VH Desktop GSP top2,49400.0,57635.0,57621.0,57624.0,41155.0
300,VH Desktop GSP top3,35526.0,41447.0,41447.0,41447.0,29605.0
301,VH Desktop GSP top5,80226.0,93590.0,93584.0,93582.0,66845.0
302,VH Desktop GSP top6,64668.0,75446.0,75447.0,75439.0,53868.0
303,VH InApp UK,263088.0,306942.0,306937.0,306918.0,219225.0
304,VH InApp USA,568393.0,663124.0,663126.0,663115.0,473643.0
305,VH InApp top1,460506.0,537258.0,537253.0,537254.0,383726.0
306,VH InApp top2,61020.0,71182.0,71176.0,71176.0,50840.0
307,VH InApp top5,121110.0,141300.0,141302.0,141295.0,100904.0
308,VH InApp top6,218495.0,254912.0,254912.0,254912.0,182081.0
309,VH Mobile GDN FR,24048.0,28056.0,28056.0,28056.0,20040.0
310,VH Mobile GDN GE,78912.0,92064.0,92064.0,92064.0,65745.0
311,VH Mobile GDN UK,214374.0,250109.0,250100.0,250096.0,178641.0
312,VH Mobile GDN USA,2654616.0,3097014.0,3096987.0,3096943.0,2212084.0
313,VH Mobile GDN top1,1339889.0,1563196.0,1563191.0,1563210.0,1116565.0
314,VH Mobile GDN top2,174000.0,203000.0,203000.0,203000.0,145004.0
315,VH Mobile GDN top3,71688.0,83636.0,83636.0,83636.0,59740.0
316,VH Mobile GDN top5,177102.0,206619.0,206619.0,206619.0,147585.0
317,VH Mobile GDN top6,171028.0,199528.0,199525.0,199521.0,142515.0
318,VH Mobile GSP FR,27582.0,32179.0,32179.0,32179.0,22985.0
319,VH Mobile GSP GE,26028.0,30366.0,30366.0,30366.0,21695.0
320,VH Mobile GSP UK,306793.0,357922.0,357920.0,357924.0,255646.0
321,VH Mobile GSP USA,4075215.0,4754363.0,4754317.0,4754086.0,3395531.0
322,VH Mobile GSP top1,895036.0,1044196.0,1044116.0,1044101.0,745703.0
323,VH Mobile GSP top2,111879.0,130515.0,130521.0,130498.0,93193.0
324,VH Mobile GSP top3,125760.0,146720.0,146725.0,146721.0,104788.0
325,VH Mobile GSP top5,387284.0,451835.0,451819.0,451829.0,322730.0
326,VH Mobile GSP top6,130482.0,152233.0,152227.0,152228.0,108730.0
327,VH Search Desktop Brand ads,394451.0,460183.0,460180.0,460176.0,328686.0
328,VH Search Desktop FR,4476.0,5222.0,5222.0,5222.0,3730.0
329,VH Search Desktop FR Ethnic,2340.0,2730.0,2730.0,2730.0,1950.0
330,VH Search Desktop tier1 Ethnic,194557.0,226965.0,226945.0,226957.0,162070.0
331,VH Search Desktop tier1 other,900102.0,1050120.0,1050123.0,1050125.0,750085.0
332,VH Search Desktop tier2,536688.0,626136.0,626137.0,626130.0,447243.0
333,VH Search Desktop tier2 Ethnic,144147.0,168170.0,168158.0,168162.0,120123.0
334,VH Search Desktop top2,51024.0,59528.0,59528.0,59528.0,42520.0
335,VH Search Desktop top2 Ethnic,25817.0,30114.0,30109.0,30094.0,21495.0
336,VH Search Desktop top3,47112.0,54964.0,54964.0,54964.0,39260.0
337,VH Search Desktop top3 Ethnic,24318.0,28376.0,28377.0,28372.0,20267.0
338,VH Search Desktop top4,210.0,245.0,245.0,245.0,175.0
339,VH Search Desktop top6,127449.0,148695.0,148694.0,148701.0,106215.0
340,VH Search Desktop top6 Ethnic,26442.0,30849.0,30849.0,30849.0,22038.0
341,VH Search Mobile Brand ads,195494.0,228083.0,228081.0,228055.0,162891.0
342,VH Search Mobile FR,3720.0,4340.0,4340.0,4340.0,3100.0
343,VH Search Mobile FR Ethnic,1200.0,1400.0,1400.0,1400.0,1000.0
344,VH Search Mobile tier1 Ethnic,236899.0,276370.0,276373.0,276381.0,197396.0
345,VH Search Mobile tier1 other,1635225.0,1907764.0,1907768.0,1907760.0,1362684.0
346,VH Search Mobile tier2,1701523.0,1985102.0,1985105.0,1985090.0,1417930.0
347,VH Search Mobile tier2 Ethnic,125902.0,146888.0,146889.0,146895.0,104925.0
348,VH Search Mobile top2,37806.0,44107.0,44107.0,44107.0,31505.0
349,VH Search Mobile top2 Ethnic,16326.0,19050.0,19053.0,19055.0,13613.0
350,VH Search Mobile top3,38814.0,45283.0,45277.0,45281.0,32341.0
351,VH Search Mobile top3 Ethnic,17183.0,20041.0,20041.0,20041.0,14315.0
352,VH Search Mobile top6,49662.0,57939.0,57939.0,57937.0,41381.0
353,VH Search Mobile top6 Ethnic,18190.0,21210.0,21210.0,21211.0,15150.0
354,VH Sitelink,7332.0,8553.0,8554.0,8554.0,6110.0
355,VT DBM_Mob,150.0,175.0,175.0,175.0,125.0
356,W4,763572.0,890788.0,890734.0,890713.0,634134.0
357,W4_mobile,2951471.0,3443355.0,3443333.0,3443298.0,2449383.0
358,Yepads,101841.0,118818.0,118818.0,118818.0,84870.0
359,Yepads_mobile,406446.0,474187.0,474187.0,474180.0,338680.0
360,Youmi,1890.0,2205.0,2205.0,2205.0,1575.0
361,Youmi_Mobile,9690.0,11305.0,11305.0,11305.0,8075.0
362,Zero,4674.0,5453.0,5453.0,5453.0,3895.0
363,cpamatica_adult,41088.0,47936.0,47936.0,47936.0,34240.0
364,cpamatica_mobile,45630.0,53235.0,53240.0,53246.0,38032.0
365,cpamatica_mobile_adult,22248.0,25956.0,25956.0,25956.0,18540.0
366,iDrive,4337926.0,5060846.0,5060783.0,5060649.0,3614594.0
367,spheredigital,30180.0,35210.0,35210.0,35210.0,25150.0
368,vh_mgid,30.0,35.0,35.0,35.0,25.0
369,wefef,30.0,35.0,35.0,35.0,25.0
